muestra,t,M 5A,DUT 30A,
2,622,74.403,221.544,
3,1171,79.009,222.108,
4,1719,77.949,224.860,
5,2269,80.434,224.551,
6,2818,78.660,223.495,
7,3367,78.119,221.774,
muestra,t,M 5A,DUT 30A,
2,553,79.464,225.018,
3,1102,79.507,223.468,
4,1652,80.973,222.291,
5,2201,77.642,222.019,
6,2750,80.422,225.224,
7,3299,78.741,221.737,
muestra,t,M 5A,DUT 30A,
2,534,79.226,221.864,
3,1057,78.810,222.669,
4,1580,82.556,224.566,
5,2103,79.973,223.979,
6,2625,79.864,223.581,
7,3148,80.852,223.406,
muestra,t,M 5A,DUT 30A,
2,527,78.346,221.900,
3,1050,80.021,223.156,
4,1573,80.008,225.151,
5,2096,78.466,222.635,
6,2618,78.135,222.931,
7,3140,77.755,222.813,
8,3663,81.288,222.507,
muestra,t,M 5A,DUT 30A,
2,526,81.417,223.509,
3,1049,78.110,224.654,
4,1572,80.674,225.898,
5,2094,76.157,221.894,
6,2616,77.782,222.842,
7,3139,79.489,222.019,
muestra,t,M 5A,DUT 30A,
2,526,77.674,225.399,
3,1049,76.598,225.165,
4,1572,78.615,225.840,
5,2094,79.350,223.949,
6,2620,77.442,223.979,
7,3144,77.030,223.274,
muestra,t,M 5A,DUT 30A,
2,524,81.685,222.502,
3,1047,77.401,223.818,
4,1571,78.400,228.427,
5,2095,76.359,224.888,
6,2618,78.625,225.792,
7,3141,80.576,225.909,
muestra,t,M 5A,DUT 30A,
2,526,77.280,224.141,
3,1049,76.677,224.683,
4,1572,80.121,223.818,
5,2097,75.817,222.137,
6,2620,78.486,224.419,
7,3143,78.787,226.534,
muestra,t,M 5A,DUT 30A,
2,524,82.756,223.566,
3,1046,77.849,223.286,
4,1570,77.370,224.829,
5,2094,80.433,221.752,
6,2618,80.521,224.258,
7,3141,74.793,224.185,
muestra,t,M 5A,DUT 30A,
2,524,80.180,221.239,
3,1046,77.857,224.228,
4,1569,76.456,224.375,
5,2094,79.192,222.492,
6,2617,79.236,226.185,
7,3139,80.916,222.205,
muestra,t,M 5A,DUT 30A,
2,524,79.236,222.087,
3,1047,82.297,221.277,
4,1572,79.280,226.050,
5,2096,82.425,225.311,
6,2618,80.306,225.240,
7,3140,79.427,222.798,
muestra,t,M 5A,DUT 30A,
2,524,81.983,223.684,
3,1048,83.370,222.004,
4,1572,77.370,223.053,
5,2096,80.481,219.414,
6,2619,78.811,223.097,
7,3144,79.957,225.952,
muestra,t,M 5A,DUT 30A,
2,526,78.534,224.156,
3,1050,80.146,224.784,
4,1573,80.877,227.004,
5,2095,76.692,223.108,
6,2617,76.375,225.956,
7,3142,76.122,222.733,
muestra,t,M 5A,DUT 30A,
2,526,79.191,223.465,
3,1049,78.041,227.128,
4,1574,79.064,225.034,
5,2097,81.043,223.053,
6,2620,78.668,222.211,
7,3143,79.102,225.996,
muestra,t,M 5A,DUT 30A,
2,524,78.266,222.072,
3,1046,78.825,222.635,
4,1570,79.768,222.196,
5,2095,77.560,224.258,
6,2618,80.614,225.384,
7,3140,80.545,224.449,
muestra,t,M 5A,DUT 30A,
2,524,78.718,223.167,
3,1046,82.358,224.889,
4,1569,79.554,222.596,
5,2094,79.872,222.167,
6,2617,81.240,221.559,
7,3140,77.699,223.833,
muestra,t,M 5A,DUT 30A,
2,525,80.700,219.444,
3,1047,80.871,223.610,
4,1569,80.070,225.474,
5,2092,77.355,225.209,
6,2617,77.442,219.427,
7,3140,77.321,223.097,
muestra,t,M 5A,DUT 30A,
2,524,80.163,225.035,
3,1047,82.647,223.406,
4,1574,80.050,225.048,
5,2097,80.153,223.068,
6,2619,81.449,222.635,
7,3142,75.044,226.054,
muestra,t,M 5A,DUT 30A,
2,526,78.644,223.318,
3,1049,77.293,221.337,
4,1572,78.705,224.449,
5,2097,81.871,221.337,
6,2620,80.707,227.778,
7,3143,76.472,221.530,
muestra,t,M 5A,DUT 30A,
2,524,76.977,225.883,
3,1046,78.735,223.905,
4,1570,75.586,224.317,
5,2094,76.493,223.891,
6,2617,75.749,227.431,
7,3140,78.516,224.756,
muestra,t,M 5A,DUT 30A,
2,524,76.430,225.927,
3,1047,77.679,227.879,
4,1574,76.748,225.121,
5,2097,77.837,225.224,
6,2619,76.354,222.250,
7,3142,78.289,226.345,
muestra,t,M 5A,DUT 30A,
2,526,77.579,226.446,
3,1049,76.780,225.836,
4,1572,77.433,224.961,
5,2097,75.238,222.964,
6,2620,77.421,226.345,
7,3143,79.417,228.686,
muestra,t,M 5A,DUT 30A,
2,525,78.768,225.209,
3,1047,76.158,225.035,
4,1570,78.060,222.758,
5,2093,79.262,222.798,
6,2616,80.385,225.850,
7,3138,78.646,224.111,
muestra,t,M 5A,DUT 30A,
2,526,77.837,225.836,
3,1052,79.700,223.700,
4,1576,76.288,224.682,
5,2099,80.980,225.138,
6,2622,78.506,221.619,
7,3144,75.496,224.184,
muestra,t,M 5A,DUT 30A,
2,524,77.397,224.610,
3,1046,79.124,228.826,
4,1569,75.732,225.107,
5,2092,75.700,223.492,
6,2614,78.764,221.968,
7,3137,76.829,224.595,
muestra,t,M 5A,DUT 30A,
2,525,77.496,225.180,
3,1047,76.303,222.428,
4,1570,74.029,223.759,
5,2095,78.170,225.121,
6,2618,77.002,223.921,
7,3141,77.769,223.950,
muestra,t,M 5A,DUT 30A,
2,525,80.520,223.950,
3,1052,75.040,222.615,
4,1576,79.211,225.238,
5,2100,80.139,224.302,
6,2623,77.566,224.332,
7,3147,75.869,222.846,
muestra,t,M 5A,DUT 30A,
2,524,80.936,224.889,
3,1049,76.669,223.673,
